item_id,item_type,topic,sentence_before,sentence_after,q,context_pc_prag_low,context_pc_prag_high,goal_instruction_low,goal_instruction_high,norming_claim,comprehension_context_pc_prag_low,comprehension_context_pc_prag_high,filler_context_production,filler_context_comprehension,filler_goal_instruction
1,critical,klimawandel,Der Klimawandel wird,durch menschliche Aktivitäten verursacht.,auf Flugreisen verzichten,"Du sprichst mit einem/einer Gesprächspartner/in über den Klimawandel. In eurem gemeinsamen Umfeld teilen die meisten die Ansicht, dass der Klimawandel durch menschliche Aktivitäten verursacht wird.",Du sprichst mit einem/einer Gesprächspartner/in über den Klimawandel. In eurem gemeinsamen Umfeld gehen die Meinungen dazu allerdings stark auseinander.,Du möchtest einen Vorschlag machen und diesen nur kurz anmerken.,"Du möchtest einen Vorschlag machen. Es ist dir sehr wichtig, dass dein/e Gesprächspartner/in diesen Vorschlag akzeptiert.",Der Klimawandel wird durch menschliche Aktivitäten verursacht.,"Dein/e Gesprächspartner/in spricht mit dir über den Klimawandel. In eurem gemeinsamen Umfeld teilen die meisten die Ansicht, dass der Klimawandel durch menschliche Aktivitäten verursacht wird.",Dein/e Gesprächspartner/in spricht mit dir über den Klimawandel. In eurem gemeinsamen Umfeld gehen die Meinungen dazu allerdings stark auseinander.,,,
2,critical,ernaehrung,Eine überwiegend pflanzliche Ernährung fördert,die Gesundheit.,mehr pflanzliche Lebensmittel in deinen Alltag einbauen,"Du sprichst mit einem/einer Gesprächspartner/in über Ernährungsgewohnheiten. In eurem gemeinsamen Umfeld teilen die meisten die Überzeugung, dass eine überwiegend pflanzliche Ernährung die Gesundheit fördert.",Du sprichst mit einem/einer Gesprächspartner/in über Ernährungsgewohnheiten. In eurem gemeinsamen Umfeld herrschen dazu sehr unterschiedliche Meinungen.,Du möchtest einen Vorschlag machen und diesen nur kurz anmerken.,"Du möchtest einen Vorschlag machen. Es ist dir sehr wichtig, dass dein/e Gesprächspartner/in diesen Vorschlag akzeptiert.",Eine überwiegend pflanzliche Ernährung fördert die Gesundheit.,"Dein/e Gesprächspartner/in spricht mit dir über Ernährungsgewohnheiten. In eurem gemeinsamen Umfeld teilen die meisten die Überzeugung, dass eine überwiegend pflanzliche Ernährung die Gesundheit fördert.",Dein/e Gesprächspartner/in spricht mit dir über Ernährungsgewohnheiten. In eurem gemeinsamen Umfeld herrschen dazu sehr unterschiedliche Meinungen.,,,
3,critical,stadtverkehr,Ein ausgebautes Nahverkehrsnetz entlastet,den Stadtverkehr erheblich.,häufiger auf öffentliche Verkehrsmittel umsteigen,"Du sprichst mit einem/einer Gesprächspartner/in über Verkehrspolitik in eurer Stadt. In eurem gemeinsamen Umfeld sehen das die meisten ähnlich, dass ein ausgebautes Nahverkehrsnetz den Stadtverkehr deutlich entlastet.",Du sprichst mit einem/einer Gesprächspartner/in über Verkehrspolitik in eurer Stadt. In eurem gemeinsamen Umfeld gehen die Meinungen dazu weit auseinander.,Du möchtest einen Vorschlag machen und diesen nur kurz anmerken.,"Du möchtest einen Vorschlag machen. Es ist dir sehr wichtig, dass dein/e Gesprächspartner/in diesen Vorschlag akzeptiert.",Ein ausgebautes Nahverkehrsnetz entlastet den Stadtverkehr deutlich.,"Dein/e Gesprächspartner/in spricht mit dir über Verkehrspolitik in eurer Stadt. In eurem gemeinsamen Umfeld sehen das die meisten ähnlich, dass ein ausgebautes Nahverkehrsnetz den Stadtverkehr deutlich entlastet.",Dein/e Gesprächspartner/in spricht mit dir über Verkehrspolitik in eurer Stadt. In eurem gemeinsamen Umfeld gehen die Meinungen dazu weit auseinander.,,,
4,critical,digitalisierung,Digitale Kompetenzen sind,in der heutigen Arbeitswelt unverzichtbar.,regelmäßig digitale Weiterbildungsangebote nutzen,"Du sprichst mit einem/einer Gesprächspartner/in über Berufsausbildung und Weiterbildung. In eurem gemeinsamen Umfeld teilen die meisten die Ansicht, dass digitale Kompetenzen in der heutigen Arbeitswelt unverzichtbar sind.",Du sprichst mit einem/einer Gesprächspartner/in über Berufsausbildung und Weiterbildung. In eurem gemeinsamen Umfeld gehen die Meinungen dazu stark auseinander.,Du möchtest einen Vorschlag machen und diesen nur kurz anmerken.,"Du möchtest einen Vorschlag machen. Es ist dir sehr wichtig, dass dein/e Gesprächspartner/in diesen Vorschlag akzeptiert.",Digitale Kompetenzen sind in der heutigen Arbeitswelt unverzichtbar.,"Dein/e Gesprächspartner/in spricht mit dir über Berufsausbildung und Weiterbildung. In eurem gemeinsamen Umfeld teilen die meisten die Ansicht, dass digitale Kompetenzen in der heutigen Arbeitswelt unverzichtbar sind.",Dein/e Gesprächspartner/in spricht mit dir über Berufsausbildung und Weiterbildung. In eurem gemeinsamen Umfeld gehen die Meinungen dazu stark auseinander.,,,
5,critical,schlaf,Ausreichend Schlaf ist,entscheidend für die kognitive Leistungsfähigkeit.,auf feste Schlafzeiten achten,"Du sprichst mit einem/einer Gesprächspartner/in über Gesundheit und Wohlbefinden. In eurem gemeinsamen Umfeld teilen die meisten die Ansicht, dass ausreichend Schlaf entscheidend für die kognitive Leistungsfähigkeit ist.",Du sprichst mit einem/einer Gesprächspartner/in über Gesundheit und Wohlbefinden. In eurem gemeinsamen Umfeld gehen die Meinungen dazu stark auseinander.,Du möchtest einen Vorschlag machen und diesen nur kurz anmerken.,"Du möchtest einen Vorschlag machen. Es ist dir sehr wichtig, dass dein/e Gesprächspartner/in diesen Vorschlag akzeptiert.",Ausreichend Schlaf ist entscheidend für die kognitive Leistungsfähigkeit.,"Dein/e Gesprächspartner/in spricht mit dir über Gesundheit und Wohlbefinden. In eurem gemeinsamen Umfeld teilen die meisten die Ansicht, dass ausreichend Schlaf entscheidend für die kognitive Leistungsfähigkeit ist.",Dein/e Gesprächspartner/in spricht mit dir über Gesundheit und Wohlbefinden. In eurem gemeinsamen Umfeld gehen die Meinungen dazu stark auseinander.,,,
6,critical,plastik,Einwegplastik schadet,den Meeresökosystemen erheblich.,konsequent auf Einwegplastik verzichten,"Du sprichst mit einem/einer Gesprächspartner/in über Umweltschutz. In eurem gemeinsamen Umfeld teilen die meisten die Überzeugung, dass Einwegplastik den Meeresökosystemen erheblich schadet.",Du sprichst mit einem/einer Gesprächspartner/in über Umweltschutz. In eurem gemeinsamen Umfeld herrschen dazu sehr unterschiedliche Meinungen.,Du möchtest einen Vorschlag machen und diesen nur kurz anmerken.,"Du möchtest einen Vorschlag machen. Es ist dir sehr wichtig, dass dein/e Gesprächspartner/in diesen Vorschlag akzeptiert.",Einwegplastik schadet den Meeresökosystemen erheblich.,"Dein/e Gesprächspartner/in spricht mit dir über Umweltschutz. In eurem gemeinsamen Umfeld teilen die meisten die Überzeugung, dass Einwegplastik den Meeresökosystemen erheblich schadet.",Dein/e Gesprächspartner/in spricht mit dir über Umweltschutz. In eurem gemeinsamen Umfeld herrschen dazu sehr unterschiedliche Meinungen.,,,
7,critical,sport,Regelmäßige körperliche Bewegung senkt,das Risiko für Herz-Kreislauf-Erkrankungen deutlich.,regelmäßig Sport in deinen Alltag integrieren,"Du sprichst mit einem/einer Gesprächspartner/in über gesunden Lebensstil. In eurem gemeinsamen Umfeld teilen die meisten die Ansicht, dass regelmäßige körperliche Bewegung das Risiko für Herz-Kreislauf-Erkrankungen deutlich senkt.",Du sprichst mit einem/einer Gesprächspartner/in über gesunden Lebensstil. In eurem gemeinsamen Umfeld gehen die Meinungen dazu stark auseinander.,Du möchtest einen Vorschlag machen und diesen nur kurz anmerken.,"Du möchtest einen Vorschlag machen. Es ist dir sehr wichtig, dass dein/e Gesprächspartner/in diesen Vorschlag akzeptiert.",Regelmäßige körperliche Bewegung senkt das Risiko für Herz-Kreislauf-Erkrankungen deutlich.,"Dein/e Gesprächspartner/in spricht mit dir über gesunden Lebensstil. In eurem gemeinsamen Umfeld teilen die meisten die Ansicht, dass regelmäßige körperliche Bewegung das Risiko für Herz-Kreislauf-Erkrankungen deutlich senkt.",Dein/e Gesprächspartner/in spricht mit dir über gesunden Lebensstil. In eurem gemeinsamen Umfeld gehen die Meinungen dazu stark auseinander.,,,
8,critical,lokalkauf,Das Kaufen bei lokalen Händlern stärkt,die regionale Wirtschaft nachhaltig.,öfter bei lokalen Geschäften einkaufen,"Du sprichst mit einem/einer Gesprächspartner/in über Einkaufsgewohnheiten. In eurem gemeinsamen Umfeld teilen die meisten die Überzeugung, dass das Kaufen bei lokalen Händlern die regionale Wirtschaft nachhaltig stärkt.",Du sprichst mit einem/einer Gesprächspartner/in über Einkaufsgewohnheiten. In eurem gemeinsamen Umfeld gehen die Meinungen dazu weit auseinander.,Du möchtest einen Vorschlag machen und diesen nur kurz anmerken.,"Du möchtest einen Vorschlag machen. Es ist dir sehr wichtig, dass dein/e Gesprächspartner/in diesen Vorschlag akzeptiert.",Das Kaufen bei lokalen Händlern stärkt die regionale Wirtschaft nachhaltig.,"Dein/e Gesprächspartner/in spricht mit dir über Einkaufsgewohnheiten. In eurem gemeinsamen Umfeld teilen die meisten die Überzeugung, dass das Kaufen bei lokalen Händlern die regionale Wirtschaft nachhaltig stärkt.",Dein/e Gesprächspartner/in spricht mit dir über Einkaufsgewohnheiten. In eurem gemeinsamen Umfeld gehen die Meinungen dazu weit auseinander.,,,
101,filler,bahn,Der Zug ist,für Reisen innerhalb Deutschlands sehr praktisch.,häufiger mit der Bahn reisen,,,,,,,,"Du sprichst mit einem/einer Gesprächspartner/in über Reisemöglichkeiten in Deutschland. Ihr überlegt, wie man umweltfreundlich von München nach Hamburg kommen kann.","Dein/e Gesprächspartner/in spricht mit dir über Reisemöglichkeiten in Deutschland. Ihr überlegt, wie man umweltfreundlich von München nach Hamburg kommen kann.",Du möchtest einen Vorschlag machen und diesen nur kurz anmerken.
102,filler,leselicht,Gutes Licht beim Lesen schont,die Augen.,dir eine bessere Leselampe anschaffen,,,,,,,,"Du sprichst mit einem/einer Gesprächspartner/in, die sich über Kopfschmerzen beim Lesen beklagt. Ihr sitzt abends zusammen am Küchentisch.",Dein/e Gesprächspartner/in spricht mit dir über Lesegewohnheiten. Du hast dich über Kopfschmerzen beim Lesen beklagt.,"Du möchtest einen Vorschlag machen. Es ist dir sehr wichtig, dass dein/e Gesprächspartner/in diesen Vorschlag akzeptiert."
